Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,2023-10,8859056,,
RELIANCE,1157.08,2023-10-04 05:30:00,1159.5,1147.55,2023-10,10286386,-0.0017255064361390016,-0.00173
RELIANCE,1157.05,2023-10-05 05:30:00,1164.7,1154.5,2023-10,10953682,-2.5927334324271634e-05,-0.00175
RELIANCE,1159.0,2023-10-06 05:30:00,1162.4,1156.03,2023-10,5431026,0.0016853204269478006,-7e-05
RELIANCE,1149.13,2023-10-09 05:30:00,1155.97,1147.5,2023-10,7576878,-0.008515962036238056,-0.00858
RELIANCE,1154.2,2023-10-10 05:30:00,1158.95,1151.88,2023-10,10236032,0.0044120334513935155,-0.00421
RELIANCE,1172.53,2023-10-11 05:30:00,1174.85,1156.5,2023-10,9814118,0.01588112978686529,0.0116
RELIANCE,1174.7,2023-10-12 05:30:00,1179.68,1169.08,2023-10,12554450,0.001850698916019189,0.01348
RELIANCE,1174.65,2023-10-13 05:30:00,1178.75,1164.58,2023-10,10150316,-4.2564058908567404e-05,0.01343
RELIANCE,1172.03,2023-10-16 05:30:00,1177.28,1168.0,2023-10,5929036,-0.002230451623888019,0.01117
RELIANCE,1177.63,2023-10-17 05:30:00,1179.85,1170.65,2023-10,7928180,0.004778034691944821,0.016
RELIANCE,1162.0,2023-10-18 05:30:00,1183.5,1160.5,2023-10,8918320,-0.013272420030060461,0.00252
RELIANCE,1153.08,2023-10-19 05:30:00,1160.9,1150.5,2023-10,12032556,-0.007676419965576664,-0.00518
RELIANCE,1149.55,2023-10-20 05:30:00,1157.35,1148.15,2023-10,8913312,-0.0030613660804107434,-0.00822
RELIANCE,1131.6,2023-10-23 05:30:00,1153.13,1127.63,2023-10,7853962,-0.01561480579357144,-0.02371
RELIANCE,1128.97,2023-10-25 05:30:00,1140.6,1121.5,2023-10,11620688,-0.0023241428066453906,-0.02598
RELIANCE,1113.25,2023-10-26 05:30:00,1129.0,1110.15,2023-10,15222534,-0.013924196391401078,-0.03954
RELIANCE,1132.9,2023-10-27 05:30:00,1136.75,1117.97,2023-10,11771084,0.017651021783067655,-0.02259
RELIANCE,1156.25,2023-10-30 05:30:00,1162.5,1134.97,2023-10,16813304,0.020610821784800004,-0.00244
RELIANCE,1143.95,2023-10-31 05:30:00,1164.0,1141.45,2023-10,12808438,-0.010637837837837782,-0.01305
RELIANCE,1148.7,2023-11-01 05:30:00,1158.75,1137.6,2023-11,10309190,0.004152279382840129,-0.00896
RELIANCE,1160.1,2023-11-02 05:30:00,1162.15,1153.97,2023-11,10562104,0.009924262209453971,0.00088
RELIANCE,1159.85,2023-11-03 05:30:00,1167.47,1157.88,2023-11,8850156,-0.00021549866390824235,0.00066
RELIANCE,1169.5,2023-11-06 05:30:00,1170.0,1162.8,2023-11,10647304,0.008320041384661803,0.00899
RELIANCE,1161.9,2023-11-07 05:30:00,1169.55,1159.78,2023-11,6960204,-0.006498503634031594,0.00243
RELIANCE,1167.95,2023-11-08 05:30:00,1170.5,1160.88,2023-11,7884494,0.005206988553231762,0.00765
RELIANCE,1155.28,2023-11-09 05:30:00,1167.95,1152.1,2023-11,14513610,-0.010848067126161265,-0.00328
RELIANCE,1157.45,2023-11-10 05:30:00,1158.18,1149.03,2023-11,7734954,0.001878332525448334,-0.00141
RELIANCE,1165.33,2023-11-12 05:30:00,1166.0,1161.25,2023-11,1419844,0.006808069463043687,0.00539
RELIANCE,1157.3,2023-11-13 05:30:00,1162.3,1155.85,2023-11,3854810,-0.006890751975835108,-0.00154
RELIANCE,1178.22,2023-11-15 05:30:00,1180.97,1163.5,2023-11,12220648,0.018076557504536517,0.01651
RELIANCE,1180.35,2023-11-16 05:30:00,1187.08,1173.47,2023-11,13134910,0.0018078117838773444,0.01835
RELIANCE,1177.78,2023-11-17 05:30:00,1186.63,1176.03,2023-11,7758634,-0.002177320286355644,0.01613
RELIANCE,1174.68,2023-11-20 05:30:00,1179.2,1168.2,2023-11,4490186,-0.002632070505527273,0.01346
RELIANCE,1189.45,2023-11-21 05:30:00,1194.0,1180.1,2023-11,8214450,0.012573637075629085,0.0262
RELIANCE,1194.1,2023-11-22 05:30:00,1197.22,1186.1,2023-11,8534814,0.003909369876833768,0.03021
RELIANCE,1197.75,2023-11-23 05:30:00,1200.0,1194.1,2023-11,8531542,0.0030566954191442175,0.03336
RELIANCE,1196.95,2023-11-24 05:30:00,1201.3,1195.53,2023-11,6749486,-0.0006679190148194403,0.03267
RELIANCE,1197.2,2023-11-28 05:30:00,1199.85,1187.63,2023-11,13792174,0.00020886419649945864,0.03289
RELIANCE,1200.35,2023-11-29 05:30:00,1205.97,1199.03,2023-11,12531306,0.002631139325091736,0.03561
RELIANCE,1188.72,2023-11-30 05:30:00,1200.35,1184.95,2023-11,28439984,-0.009688840754779715,0.02557
RELIANCE,1197.15,2023-12-01 05:30:00,1198.2,1188.8,2023-12,14342842,0.007091661619220702,0.03285
RELIANCE,1210.1,2023-12-04 05:30:00,1225.0,1199.3,2023-12,15590990,0.010817357891659274,0.04402
RELIANCE,1218.88,2023-12-05 05:30:00,1220.43,1210.83,2023-12,12693624,0.007255598710850464,0.05159
RELIANCE,1230.55,2023-12-06 05:30:00,1236.47,1217.5,2023-12,16422442,0.009574363349960535,0.06166
RELIANCE,1228.53,2023-12-07 05:30:00,1230.47,1221.0,2023-12,8142096,-0.0016415423997399037,0.05992
RELIANCE,1227.88,2023-12-08 05:30:00,1238.35,1222.5,2023-12,10204894,-0.0005290876087681307,0.05936
RELIANCE,1229.68,2023-12-11 05:30:00,1233.8,1226.2,2023-12,7066138,0.001465941297195128,0.06091
RELIANCE,1212.03,2023-12-12 05:30:00,1232.47,1210.08,2023-12,9197124,-0.014353327695010187,0.04568
RELIANCE,1216.97,2023-12-13 05:30:00,1219.18,1203.15,2023-12,10031182,0.004075806704454621,0.04994
RELIANCE,1232.08,2023-12-14 05:30:00,1237.47,1221.33,2023-12,16972354,0.012416082565716469,0.06298
RELIANCE,1247.8,2023-12-15 05:30:00,1250.0,1235.03,2023-12,15932152,0.01275891175897681,0.07654
RELIANCE,1260.5,2023-12-18 05:30:00,1267.45,1245.47,2023-12,14165188,0.01017791312710381,0.0875
RELIANCE,1279.05,2023-12-19 05:30:00,1286.95,1262.6,2023-12,16820604,0.014716382387941263,0.1035
RELIANCE,1263.58,2023-12-20 05:30:00,1299.43,1260.0,2023-12,17736722,-0.012094914194128448,0.09016
RELIANCE,1281.28,2023-12-21 05:30:00,1286.75,1259.13,2023-12,13765454,0.014007819053799553,0.10543
RELIANCE,1282.53,2023-12-22 05:30:00,1290.45,1273.83,2023-12,16541784,0.0009755869130869677,0.10651
RELIANCE,1289.03,2023-12-26 05:30:00,1295.97,1281.35,2023-12,7465664,0.005068107568633851,0.11211
RELIANCE,1293.43,2023-12-27 05:30:00,1299.95,1286.55,2023-12,9204156,0.003413419392876982,0.11591
RELIANCE,1302.78,2023-12-28 05:30:00,1306.0,1293.43,2023-12,12302636,0.007228841143316567,0.12398
RELIANCE,1292.47,2023-12-29 05:30:00,1307.0,1289.65,2023-12,10864584,-0.007913845775955997,0.11508
RELIANCE,1295.13,2024-01-01 05:30:00,1303.43,1286.58,2024-01,4030540,0.0020580748489327227,0.11738
RELIANCE,1305.85,2024-01-02 05:30:00,1307.5,1286.5,2024-01,7448800,0.008277161366040398,0.12663
RELIANCE,1291.65,2024-01-03 05:30:00,1317.0,1288.6,2024-01,9037536,-0.010874143278324366,0.11438
RELIANCE,1298.33,2024-01-04 05:30:00,1304.93,1289.55,2024-01,9612778,0.005171679634575765,0.12014
RELIANCE,1303.85,2024-01-05 05:30:00,1309.93,1299.0,2024-01,8086406,0.004251615536881914,0.1249
RELIANCE,1293.68,2024-01-08 05:30:00,1315.98,1284.47,2024-01,7734652,-0.007799976991218149,0.11613
RELIANCE,1290.25,2024-01-09 05:30:00,1303.4,1288.6,2024-01,5403074,-0.0026513511842186643,0.11317
RELIANCE,1325.05,2024-01-10 05:30:00,1329.5,1287.53,2024-01,11102740,0.02697151714783952,0.14319
RELIANCE,1359.9,2024-01-11 05:30:00,1362.5,1328.5,2024-01,23725852,0.026300894305875344,0.17326
RELIANCE,1370.73,2024-01-12 05:30:00,1373.33,1345.75,2024-01,15012164,0.00796382086918146,0.1826
RELIANCE,1394.13,2024-01-15 05:30:00,1396.45,1366.0,2024-01,8610594,0.01707119564027937,0.20279
RELIANCE,1374.63,2024-01-16 05:30:00,1396.3,1370.5,2024-01,9069024,-0.013987217834778631,0.18597
RELIANCE,1361.58,2024-01-17 05:30:00,1386.28,1355.03,2024-01,12197382,-0.009493463695685489,0.17471
RELIANCE,1367.95,2024-01-18 05:30:00,1371.0,1351.25,2024-01,10279438,0.0046783883429546425,0.1802
RELIANCE,1367.45,2024-01-19 05:30:00,1376.0,1359.0,2024-01,10422704,-0.0003655104353229577,0.17977
RELIANCE,1356.65,2024-01-20 05:30:00,1383.48,1350.0,2024-01,7283394,-0.00789791217229141,0.17045
RELIANCE,1328.58,2024-01-23 05:30:00,1371.75,1322.55,2024-01,20055420,-0.02069067187557594,0.14624
RELIANCE,1343.88,2024-01-24 05:30:00,1349.5,1323.93,2024-01,21919128,0.011516054735130954,0.15944
RELIANCE,1353.08,2024-01-25 05:30:00,1364.15,1335.2,2024-01,11808872,0.006845849331785336,0.16737
RELIANCE,1448.05,2024-01-29 05:30:00,1452.5,1360.18,2024-01,23893438,0.07018801549058451,0.24931
RELIANCE,1407.63,2024-01-30 05:30:00,1459.98,1404.43,2024-01,14093978,-0.027913400780359643,0.21444
RELIANCE,1426.63,2024-01-31 05:30:00,1434.25,1402.5,2024-01,15130226,0.01349786520605556,0.23083
RELIANCE,1426.65,2024-02-01 05:30:00,1443.35,1418.05,2024-02,13349362,1.4019051891578371e-05,0.23085
RELIANCE,1457.7,2024-02-02 05:30:00,1474.9,1433.18,2024-02,19652588,0.021764272947113916,0.25764
RELIANCE,1439.03,2024-02-05 05:30:00,1470.5,1431.53,2024-02,8814432,-0.012807847979694142,0.24153
