Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
BPCL,170.68,2023-10-03 05:30:00,174.6,170.43,2023-10,10514554,,
BPCL,170.68,2023-10-04 05:30:00,172.48,169.78,2023-10,6049760,0.0,0.0
BPCL,172.23,2023-10-05 05:30:00,173.88,171.4,2023-10,7115506,0.009081321771736484,0.00908
BPCL,173.6,2023-10-06 05:30:00,174.5,172.0,2023-10,3717076,0.007954479475120513,0.01711
BPCL,170.0,2023-10-09 05:30:00,170.83,168.08,2023-10,8740080,-0.020737327188940058,-0.00398
BPCL,170.2,2023-10-10 05:30:00,171.3,169.6,2023-10,3572978,0.0011764705882353343,-0.00281
BPCL,171.28,2023-10-11 05:30:00,172.65,170.75,2023-10,4799512,0.006345475910693343,0.00352
BPCL,174.35,2023-10-12 05:30:00,175.18,172.03,2023-10,7703802,0.017923867351704814,0.0215
BPCL,173.85,2023-10-13 05:30:00,175.3,173.53,2023-10,3981804,-0.0028677946659019238,0.01857
BPCL,173.63,2023-10-16 05:30:00,174.23,171.0,2023-10,3262470,-0.0012654587287891372,0.01728
BPCL,177.35,2023-10-17 05:30:00,178.85,173.35,2023-10,10443728,0.02142486897425555,0.03908
BPCL,175.1,2023-10-18 05:30:00,178.25,174.43,2023-10,9162228,-0.012686777558500117,0.0259
BPCL,176.85,2023-10-19 05:30:00,177.28,174.58,2023-10,5743188,0.009994288977726917,0.03615
BPCL,173.2,2023-10-20 05:30:00,176.4,172.28,2023-10,4400690,-0.020638959570257298,0.01476
BPCL,171.4,2023-10-23 05:30:00,173.65,170.83,2023-10,7813800,-0.010392609699768962,0.00422
BPCL,169.98,2023-10-25 05:30:00,173.25,169.25,2023-10,5429774,-0.008284714119019876,-0.0041
BPCL,167.5,2023-10-26 05:30:00,169.48,165.73,2023-10,7743878,-0.01458995175903044,-0.01863
BPCL,167.48,2023-10-27 05:30:00,169.13,167.0,2023-10,2996088,-0.00011940298507473468,-0.01875
BPCL,173.45,2023-10-30 05:30:00,174.45,168.55,2023-10,21873188,0.0356460472892286,0.01623
BPCL,174.63,2023-10-31 05:30:00,176.98,172.33,2023-10,10673186,0.006803113289132412,0.02314
BPCL,178.45,2023-11-01 05:30:00,179.38,175.28,2023-11,13929780,0.021874821050220428,0.04552
BPCL,180.28,2023-11-02 05:30:00,181.0,178.63,2023-11,10130432,0.010254973381899735,0.05625
BPCL,180.75,2023-11-03 05:30:00,181.85,180.1,2023-11,5627900,0.0026070556911470533,0.059
BPCL,183.13,2023-11-06 05:30:00,184.58,180.68,2023-11,9072020,0.013167358229598802,0.07294
BPCL,186.4,2023-11-07 05:30:00,186.83,183.1,2023-11,10702176,0.017856167749686014,0.0921
BPCL,192.1,2023-11-08 05:30:00,193.95,187.03,2023-11,24020912,0.03057939914163077,0.1255
BPCL,191.78,2023-11-09 05:30:00,195.33,191.4,2023-11,12843896,-0.001665799062988027,0.12362
BPCL,192.03,2023-11-10 05:30:00,193.05,190.25,2023-11,4932486,0.0013035770153300152,0.12509
BPCL,192.05,2023-11-12 05:30:00,194.0,191.58,2023-11,776810,0.00010415039316780117,0.12521
BPCL,193.55,2023-11-13 05:30:00,194.35,191.75,2023-11,4838906,0.007810466024472884,0.13399
BPCL,196.28,2023-11-15 05:30:00,196.7,193.58,2023-11,11266250,0.01410488245931285,0.14999
BPCL,199.33,2023-11-16 05:30:00,200.65,196.5,2023-11,15416172,0.015539025881393886,0.16786
BPCL,195.13,2023-11-17 05:30:00,203.55,194.63,2023-11,16380696,-0.02107058646465665,0.14325
BPCL,196.0,2023-11-20 05:30:00,196.7,193.73,2023-11,4506882,0.004458566084148963,0.14835
BPCL,194.0,2023-11-21 05:30:00,196.6,193.3,2023-11,4477214,-0.010204081632653073,0.13663
BPCL,201.05,2023-11-22 05:30:00,201.4,195.55,2023-11,25730664,0.0363402061855671,0.17794
BPCL,205.65,2023-11-23 05:30:00,206.75,200.33,2023-11,16239092,0.022879880626709648,0.20489
BPCL,205.3,2023-11-24 05:30:00,206.5,203.5,2023-11,10975546,-0.0017019207391197888,0.20284
BPCL,212.25,2023-11-28 05:30:00,212.95,206.55,2023-11,23186856,0.033852898197759274,0.24356
BPCL,214.33,2023-11-29 05:30:00,217.23,209.35,2023-11,25208812,0.009799764428739755,0.25574
BPCL,217.85,2023-11-30 05:30:00,219.38,214.53,2023-11,32721308,0.016423272523678367,0.27637
BPCL,219.0,2023-12-01 05:30:00,221.2,216.7,2023-12,19278842,0.0052788616020198464,0.2831
BPCL,230.75,2023-12-04 05:30:00,232.4,222.0,2023-12,41482794,0.053652968036529636,0.35195
BPCL,236.1,2023-12-05 05:30:00,238.23,232.5,2023-12,38376064,0.023185265438786518,0.38329
BPCL,236.43,2023-12-06 05:30:00,241.25,234.15,2023-12,27408826,0.0013977128335451727,0.38522
BPCL,237.35,2023-12-07 05:30:00,239.5,235.75,2023-12,23850564,0.003891215158820849,0.39061
BPCL,235.23,2023-12-08 05:30:00,238.73,232.9,2023-12,18940478,-0.008931957025489767,0.37819
BPCL,232.75,2023-12-11 05:30:00,237.43,228.28,2023-12,27693108,-0.010542872932874148,0.36366
BPCL,223.78,2023-12-12 05:30:00,225.73,222.75,2023-12,19940320,-0.03853920515574649,0.31111
BPCL,223.75,2023-12-13 05:30:00,227.18,222.98,2023-12,26664018,-0.00013406023773354647,0.31093
BPCL,222.85,2023-12-14 05:30:00,224.98,221.03,2023-12,12555568,-0.004022346368715124,0.30566
BPCL,224.5,2023-12-15 05:30:00,226.73,221.1,2023-12,22079148,0.007404083464213729,0.31533
BPCL,223.63,2023-12-18 05:30:00,225.13,222.05,2023-12,16831064,-0.0038752783964365323,0.31023
BPCL,224.88,2023-12-19 05:30:00,225.75,222.53,2023-12,12644672,0.005589589947681439,0.31755
BPCL,219.73,2023-12-20 05:30:00,227.68,219.18,2023-12,17347978,-0.02290110281038782,0.28738
BPCL,224.78,2023-12-21 05:30:00,225.23,216.23,2023-12,18554414,0.022982751558731307,0.31697
BPCL,223.33,2023-12-22 05:30:00,226.68,222.53,2023-12,11559264,-0.006450751846249658,0.30847
BPCL,225.8,2023-12-26 05:30:00,228.25,222.25,2023-12,22976450,0.01105986656517266,0.32294
BPCL,227.35,2023-12-27 05:30:00,228.2,224.15,2023-12,12398088,0.0068644818423382326,0.33202
BPCL,232.9,2023-12-28 05:30:00,235.43,227.38,2023-12,45183336,0.024411700021992555,0.36454
BPCL,225.33,2023-12-29 05:30:00,229.0,224.33,2023-12,17088440,-0.032503220266208666,0.32019
BPCL,226.03,2024-01-01 05:30:00,229.7,225.35,2024-01,7006288,0.003106554830692776,0.32429
BPCL,228.13,2024-01-02 05:30:00,229.7,224.05,2024-01,9458818,0.009290802105915041,0.33659
BPCL,230.53,2024-01-03 05:30:00,232.65,227.53,2024-01,15058884,0.01052031736290715,0.35066
BPCL,226.33,2024-01-04 05:30:00,228.75,225.5,2024-01,17904916,-0.018218886912766186,0.32605
